codigo,status,count,message
1456,ok,0,
1468,ok,0,
1464,ok,0,
1463,ok,0,
1466,ok,0,
1467,ok,0,
1455,ok,0,
1469,ok,0,
1474,ok,0,
1470,ok,0,
1465,ok,38,
1473,ok,0,
1475,ok,0,
1471,ok,0,
1479,ok,0,
1476,ok,0,
1480,ok,0,
1477,ok,0,
1483,ok,0,
1482,ok,0,
1484,ok,0,
1481,ok,0,
1485,ok,0,
1486,ok,0,
1487,ok,0,
1488,ok,0,
1490,ok,0,
1489,ok,0,
1492,ok,0,
1478,ok,10,
1495,ok,0,
1496,ok,0,
1494,ok,0,
1498,ok,0,
1491,ok,0,
1497,ok,0,
1499,ok,0,
1472,ok,6,
1500,ok,0,
1501,ok,0,
1493,ok,0,
1502,ok,0,
1504,ok,0,
1507,ok,0,
1506,ok,0,
1508,ok,0,
1509,ok,0,
1510,ok,0,
1511,ok,0,
1513,ok,0,
1505,ok,15,
1503,ok,0,
1515,ok,0,
1514,ok,0,
1517,ok,0,
1518,ok,0,
1516,ok,0,
1521,ok,0,
1520,ok,0,
1523,ok,0,
1522,ok,0,
1512,ok,0,
1524,ok,0,
1519,ok,0,
1526,ok,0,
1525,ok,0,
1529,ok,0,
1531,ok,0,
1528,ok,0,
1532,ok,0,
1533,ok,0,
1537,ok,0,
1527,ok,0,
1540,ok,0,
1535,ok,0,
1530,ok,0,
1538,ok,0,
1542,ok,0,
1543,ok,0,
1541,ok,0,
1539,ok,0,
1546,ok,0,
1547,ok,0,
1534,ok,0,
1544,ok,0,
1545,ok,1,
1548,ok,0,
1536,ok,0,
1549,ok,0,
1552,ok,0,
1554,ok,0,
1553,ok,0,
1556,ok,0,
1550,ok,0,
1559,ok,0,
1557,ok,0,
1555,ok,0,
1558,ok,0,
1561,ok,0,
1560,ok,0,
1564,ok,0,
1562,ok,0,
1563,ok,0,
1567,ok,0,
1565,ok,0,
1551,ok,31,
1568,ok,0,
1566,ok,0,
1571,ok,0,
1570,ok,0,
1572,ok,0,
1569,ok,0,
1574,ok,0,
1576,ok,0,
1578,ok,0,
1573,ok,0,
1575,ok,0,
1577,ok,0,
1585,ok,18,
1579,ok,0,
1583,ok,0,
1582,ok,0,
1589,ok,0,
1580,ok,0,
1581,ok,0,
1586,ok,0,
1587,ok,17,
1588,ok,1,
1584,ok,0,
1592,ok,0,
1591,ok,0,
1594,ok,0,
1593,ok,0,
1595,ok,0,
1598,ok,0,
1596,ok,0,
1599,ok,0,
1590,ok,0,
1601,ok,0,
1604,ok,0,
1600,ok,0,
1597,ok,0,
1603,ok,0,
1610,ok,0,
1608,ok,0,
1602,ok,0,
1605,ok,0,
1607,ok,0,
1609,ok,0,
1611,ok,0,
1613,ok,0,
1612,ok,0,
1606,ok,0,
1617,ok,0,
1616,ok,3,
1614,ok,0,
1620,ok,0,
1615,ok,0,
1618,ok,0,
1621,ok,0,
1619,ok,0,
1622,ok,29,
1624,ok,0,
1625,ok,0,
1623,ok,0,
1626,ok,0,
1630,ok,0,
1629,ok,0,
1628,ok,0,
1634,ok,0,
1632,ok,0,
1631,ok,0,
1633,ok,0,
1627,ok,0,
1638,ok,0,
1636,ok,0,
1639,ok,0,
1635,ok,0,
1640,ok,0,
1644,ok,0,
1641,ok,0,
1646,ok,3,
1643,ok,0,
1647,ok,0,
1645,ok,20,
1648,ok,0,
1649,ok,0,
1637,ok,7,
1650,ok,0,
1642,ok,0,
1653,ok,0,
1652,ok,0,
1654,ok,0,
1658,ok,0,
1655,ok,0,
1656,ok,0,
1657,ok,0,
1660,ok,0,
1659,ok,0,
1651,ok,6,
1663,ok,0,
1661,ok,0,
1664,ok,0,
